client_id,name,payment_terms,sales_rep,xero_contact_id,active,created_at,contact_name,contact_phone,contact_email
TECK,Teck Sang Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
TOH,Toh Ban Seng,,,,t,2026-07-24 15:15:51.944859+00,,,
TON,Tong Carriage (S) Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
TOP,Top Star Builder Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
TRA,Tracebuild,,,,t,2026-07-24 15:15:51.944859+00,,,
TRE,T3 Reources Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
TST,TSTL,,,,t,2026-07-24 15:15:51.944859+00,,,
URB,Urban Group Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
WAH,Wah & Hua Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
WEB,WeBuild,,,,t,2026-07-24 15:15:51.944859+00,,,
WIK,WIKA Instrumentation Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
WIL,Wilkie Development Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
WOR,World of Wood Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
WRA,W'Ray Construction Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
HYU,"Hyundai Engineering & Construction Co., Ltd",,,,t,2026-07-24 15:15:51.944859+00,,,
EXP,123 Express,,,,t,2026-07-24 15:15:51.944859+00,,,
ECO,Ecozeal,,,,t,2026-07-30 00:35:38.037853+00,,,
RAD,Radha Exports Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
SHI,Shin Ya O Ya Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
TONG,Tong Hock Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
STX,ST Engineering,,,,t,2026-07-24 15:15:51.944859+00,,,
BCW,B&C Waste,,,,t,2026-07-24 15:15:51.944859+00,,,
BEE,Beejoo,,,,t,2026-07-24 15:15:51.944859+00,,,
BND,BNDC (Fairprice),,,,t,2026-07-24 15:15:51.944859+00,,,
CAL,Calvary Carpentry Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
CAR,Cargo International,,,,t,2026-07-24 15:15:51.944859+00,,,
CAT,Caterpillar,,,,t,2026-07-24 15:15:51.944859+00,,,
CBM,CBM Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
CHA,Chateraise,,,,t,2026-07-24 15:15:51.944859+00,,,
CHI,Chiong Construction,,,,t,2026-07-24 15:15:51.944859+00,,,
CHU,Chuan Seng Leong,,,,t,2026-07-24 15:15:51.944859+00,,,
CLE,Cleanis-Tee,,,,t,2026-07-24 15:15:51.944859+00,,,
CNC,CNCCS Engineering and Construction Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
CPH,C & P Holdings Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
CRE,CrestSA Marine & Offshore Pte Ltd,,,,t,2026-07-24 15:15:51.944859+00,,,
DSV,DSV,,,,t,2026-07-24 15:15:51.944859+00,,,
DYN,Dyna Cool,,,,t,2026-07-24 15:15:51.944859+00,,,
