id,at,actor,action,entity,entity_id,before,after
1919,2026-09-09 04:03:28.311826+00,zion,collection.set_ticket,collections,24959,"{""weigh_ticket_no"": ""LR483""}","{""reason"": ""weighbridge ticket recorded (operator console)"", ""app_patched"": true, ""weigh_ticket_no"": null}"
1920,2026-09-09 04:05:59.159752+00,zion,adjustment.add,collections,24954,"{""net_kg"": ""2520""}","{""net_kg"": ""3520"", ""reason"": ""Weight adjustment +1000 kg (chit model: net = gross + adj - tare)""}"
1921,2026-09-09 04:06:05.048381+00,zion,collection.review,collection_reviews,24954,,"{""do_no"": ""24954"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T04:06:05.01+00:00"", ""reviewed_by"": ""zion""}"
1922,2026-09-09 04:08:50.272666+00,zion,job.create,collections,24955,,"{""price"": 13, ""job_id"": 766, ""net_kg"": 2260, ""reason"": ""Driver forgot to submit"", ""site_id"": ""AJK_001"", ""trip_id"": 619, ""job_type"": ""Exchange"", ""driver_id"": ""KARTHIK"", ""app_patched"": true}"
1924,2026-09-09 04:09:08.581793+00,zion,adjustment.add,collections,24955,"{""net_kg"": ""2260""}","{""net_kg"": ""3260"", ""reason"": ""Weight adjustment +1000 kg (chit model: net = gross + adj - tare)""}"
1925,2026-09-09 04:09:14.369168+00,zion,collection.review,collection_reviews,24955,,"{""do_no"": ""24955"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T04:09:14.372+00:00"", ""reviewed_by"": ""zion""}"
1926,2026-09-09 04:10:55.824043+00,zion,adjustment.add,collections,24956,"{""net_kg"": ""1280""}","{""net_kg"": ""3280"", ""reason"": ""Weight adjustment +2000 kg (chit model: net = gross + adj - tare)""}"
1927,2026-09-09 04:11:00.47484+00,zion,collection.review,collection_reviews,24956,,"{""do_no"": ""24956"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T04:11:00.457+00:00"", ""reviewed_by"": ""zion""}"
1928,2026-09-09 04:11:25.076557+00,zion,collection.review,collection_reviews,24957,,"{""do_no"": ""24957"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T04:11:25.076+00:00"", ""reviewed_by"": ""zion""}"
1929,2026-09-09 04:11:45.930146+00,zion,collection.review,collection_reviews,24958,,"{""do_no"": ""24958"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T04:11:45.928+00:00"", ""reviewed_by"": ""zion""}"
1930,2026-09-09 04:18:39.806988+00,zion,collection.review,collection_reviews,24955,"{""do_no"": ""24955"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T04:09:14.372+00:00"", ""reviewed_by"": ""zion""}","{""do_no"": ""24955"", ""reviewed"": false, ""reviewed_at"": ""2026-09-09T04:18:39.709+00:00"", ""reviewed_by"": ""zion""}"
1931,2026-09-09 04:18:39.809612+00,zion,collection.review,collection_reviews,24955,"{""do_no"": ""24955"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T04:09:14.372+00:00"", ""reviewed_by"": ""zion""}","{""do_no"": ""24955"", ""reviewed"": false, ""reviewed_at"": ""2026-09-09T04:18:39.707+00:00"", ""reviewed_by"": ""zion""}"
1932,2026-09-09 04:18:52.430749+00,zion,adjustment.add,collections,24955,"{""net_kg"": ""2260""}","{""net_kg"": ""2260"", ""reason"": ""Weight adjustment -1000 kg (chit model: net = gross + adj - tare)""}"
1933,2026-09-09 04:19:24.288979+00,michelle,sites.upsert,sites,SAV_101,"{""active"": true, ""address"": ""11 Pioneer Turn L2"", ""site_id"": ""SAV_101"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""created_at"": ""2026-08-30T02:37:43.889792+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""11 Pioneer Turn L2"", ""site_id"": ""SAV_101"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
1934,2026-09-09 04:19:24.337333+00,michelle,customers.upsert,customers,SAV,"{""name"": ""Savills Property Management Pte Ltd (Blue Hub)"", ""active"": true, ""client_id"": ""SAV"", ""sales_rep"": null, ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null, ""payment_terms"": null, ""xero_contact_id"": null}","{""name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""client_id"": ""SAV""}"
1935,2026-09-09 04:19:24.344301+00,michelle,rate_card.replace,rate_card,SAV_101,"[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 19.5, ""job_type"": ""Compactor""}]","[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]"
