id,domain,key,route,value,unit,basis,source_ref,valid_from,uncertainty_pct
28,equipment,production_of_cassette_fan_coil_units,,151.200000,kgCO2e/unit,Production of Cassette Fan Coil Units |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR4,2024-06-06,
29,equipment,production_of_uninterruptible_power_supplies_ups_with_energy,,2870.000000,kgCO2e/unit,Production of Uninterruptible Power Supplies (UPS) with Energy Storage System of Wattage > 10000W |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
30,equipment,production_of_uninterruptible_power_supplies_ups_with_energy,,701.000000,kgCO2e/unit,Production of Uninterruptible Power Supplies (UPS) with Energy Storage System of Wattage > 5000W and ≤ 10000W |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
31,equipment,production_of_lightning_protection_systems,,4.810000,kgCO2e/kg,Production of Lightning Protection Systems |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
32,equipment,production_of_uninterruptible_power_supplies_ups_without_ene,,543.000000,kgCO2e/unit,Production of Uninterruptible Power Supplies (UPS) without Energy Storage System of Wattage > 5000W and ≤ 10000W |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
33,equipment,production_of_uninterruptible_power_supplies_ups_with_energy,,592.000000,kgCO2e/unit,Production of Uninterruptible Power Supplies (UPS) with Energy Storage System of Wattage > 1500W and ≤ 5000W |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
34,equipment,production_of_uninterruptible_power_supplies_ups_with_energy,,50.000000,kgCO2e/unit,Production of Uninterruptible Power Supplies (UPS) with Energy Storage System of Wattage ≤ 1500W |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
35,equipment,production_of_1_m_2_of_26_gauge_electrogalvanised_steel_air_,,3.140000,kgCO2e/kg,"Production of 1 m^2 of 26 Gauge Electrogalvanised Steel Air Ducts | Input is dependent on Area, Gauge and Material of Duct. For more info, refer to SGBC's Singapore Mechanical & Electrical Carbon Calculator (MECC). | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
36,equipment,production_of_uninterruptible_power_supplies_ups_without_ene,,291.000000,kgCO2e/unit,Production of Uninterruptible Power Supplies (UPS) without Energy Storage System of Wattage > 1500W and ≤ 5000W |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
37,equipment,production_of_1_escalator_with_10m_vertical_rise_and_30_incl,,118539.200000,kgCO2e/unit,"Production of 1 Escalator with 10m Vertical Rise and 30° inclination angle | Input is dependent on Vertical Rise and Inclination Angle. For more info, refer to SGBC's Singapore Mechanical & Electrical Carbon Calculator (MECC). | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
38,equipment,production_of_solar_photovoltaics_pv,,0.387000,kgCO2e/Wp,Production of Solar PhotoVoltaics (PV) |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR5,2024-06-06,
39,equipment,production_of_450_750_v_cu_pvc_non_sheathed_cables,,0.220000,kgCO2e/m,"Production of 450/750 V CU/PVC, Non-sheathed Cables | Input is dependent on Material, Voltage and Cross Sectional Area of Conductor. For more info, refer to SGBC's Singapore Mechanical & Electrical Carbon Calculator (MECC). | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
