id,domain,key,route,value,unit,basis,source_ref,valid_from,uncertainty_pct
99,fuel,natural_gas_liquids,combustion,2848.380600,kgCO2e/t,"Combustion of Natural Gas Liquids | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculat","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
100,fuel,crude_oil,combustion,3110.868900,kgCO2e/t,"Combustion of Crude Oil | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, pleas","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
101,fuel,shale_oil,combustion,2801.988300,kgCO2e/t,"Combustion of Shale Oil | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, pleas","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
102,fuel,other_bituminous_coal,combustion,2451.657900,kgCO2e/t,"Combustion of Other Bituminous Coal | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calcul","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
103,fuel,oxygen_steel_furnace_gas,combustion,1285.304770,kgCO2e/t,"Combustion of Oxygen Steel Furnace Gas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax cal","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
104,fuel,wood_wood_waste,combustion,29.640000,kgCO2e/t,Combustion of Wood / Wood waste | This datapoint references the 2006 IPCC Guidelines for National Greenhouse Gas Inventories and IPCC Fifth Assessment Report (AR5). | Boundary incl: Only includes emissions from the combustion of the fuel. | excl: Excludes emissions upstream of the combustion of the fuel.,"SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
105,fuel,naphtha,combustion,3272.663500,kgCO2e/t,"Combustion of Naphtha | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, please ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
106,fuel,biodiesel,combustion,6.561000,kgCO2e/t,"Combustion of Biodiesel | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, pleas","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
107,fuel,biogasoline,combustion,6.561000,kgCO2e/t,"Combustion of Biogasoline | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, ple","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
108,fuel,waste_oils,combustion,3023.040000,kgCO2e/t,Combustion of Waste Oils | This datapoint references the 2006 IPCC Guidelines for National Greenhouse Gas Inventories and IPCC Fifth Assessment Report (AR5). | Boundary incl: Only includes emissions from the combustion of the fuel. | excl: Excludes emissions upstream of the combustion of the fuel.,"SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
109,fuel,sulphite_lyes_black_liquor,combustion,7.245200,kgCO2e/t,"Combustion of Sulphite Lyes (Black Liquor) | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
110,fuel,coking_coal,combustion,2679.719100,kgCO2e/t,"Combustion of Coking Coal | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, ple","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
111,fuel,other_biogas,combustion,2.746800,kgCO2e/t,"Combustion of Other Biogas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, pl","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
112,fuel,paraffin_waxes,combustion,2956.428600,kgCO2e/t,"Combustion of Paraffin Waxes | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
113,fuel,ethane,combustion,2860.768800,kgCO2e/t,"Combustion of Ethane | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, please r","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
114,fuel,blast_furnace_gas,combustion,642.334615,kgCO2e/t,"Combustion of Blast Furnace Gas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculatio","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
115,fuel,gas_diesel_oil_high_sulphur,combustion,3196.749000,kgCO2e/t,"Combustion of Gas / Diesel Oil (high sulphur) | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
116,fuel,town_gas_gas_work_gas,combustion,2158.860150,kgCO2e/t,Combustion of Town Gas (Gas Work Gas) | This datapoint references a country-specific CO2 emission factor and default CH4/N2O emission factors in net calorific value from the 2006 IPCC Guidelines for National Greenhouse Gas Inventories and IPCC Fifth Assessment Report (AR5). | Boundary incl: Only includes emissions from the combustion of the fuel. | excl: Excludes emissions upstream of the combusti,"SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
117,fuel,refinery_gas,combustion,2853.897750,kgCO2e/t,"Combustion of Refinery Gas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, pl","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
118,fuel,refinery_feedstocks,combustion,3162.349000,kgCO2e/t,"Combustion of Refinery Feedstocks | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculat","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
119,fuel,aviation_gasoline,combustion,3111.764900,kgCO2e/t,"Combustion of Aviation Gasoline | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculatio","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
120,fuel,coke_oven_coke_lignite_coke,combustion,3029.399100,kgCO2e/t,"Combustion of Coke Oven Coke / Lignite Coke | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Ta","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
121,fuel,natural_gas_in_gross_calorific_value,combustion,53.321520,kgCO2e/mmBTU,"Combustion of Natural Gas (in Gross Calorific Value) | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
122,fuel,oil_shale_and_tar_sands,combustion,956.086950,kgCO2e/t,"Combustion of Oil Shale and Tar Sands | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calc","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
123,fuel,petroleum_coke,combustion,3176.647500,kgCO2e/t,"Combustion of Petroleum Coke | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
124,fuel,bitumen,combustion,3253.908600,kgCO2e/t,"Combustion of Bitumen | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, please ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
125,fuel,other_petroleum_products,combustion,2956.428600,kgCO2e/t,"Combustion of Other Petroleum Products | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax cal","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
167,gwp,pfc_91_18_c10f18,,7190.000000,kgCO2e/kg,"PFC-91-18 (C10F18) | This is the Global Warming Potential (GWP) of the associated Greenhouse Gas (GHG), following IPCC Fifth Assessment Report (AR5) ""Climate Change 2013: The Physical Science Basis"". | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | IPCC Fifth Assessment Report | AR5",2013-01-01,
126,fuel,sludge_gas,combustion,2.746800,kgCO2e/t,"Combustion of Sludge Gas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, plea","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
127,fuel,other_primary_solid_biomass,combustion,22.040000,kgCO2e/t,"Combustion of Other Primary Solid Biomass | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
128,fuel,peat,combustion,1038.712880,kgCO2e/t,"Combustion of Peat | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, please ref","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
129,fuel,lignite,combustion,1206.963450,kgCO2e/t,"Combustion of Lignite | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, please ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
130,fuel,gas_coke,combustion,3018.936900,kgCO2e/t,"Combustion of Gas Coke | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, please","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
131,fuel,landfill_gas,combustion,2.746800,kgCO2e/t,"Combustion of Landfill Gas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, pl","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
132,gwp,hfc_152a_ch3chf2,,138.000000,kgCO2e/kg,"HFC-152a (CH3CHF2) | This is the Global Warming Potential (GWP) of the associated Greenhouse Gas (GHG), following IPCC Fifth Assessment Report (AR5) ""Climate Change 2013: The Physical Science Basis"". | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | IPCC Fifth Assessment Report | AR5",2013-01-01,
133,fuel,natural_gas,combustion,2695.416000,kgCO2e/t,"Combustion of Natural Gas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, ple","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
134,fuel,jet_gasoline,combustion,3111.764900,kgCO2e/t,"Combustion of Jet Gasoline | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, pl","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
135,fuel,jet_kerosene,combustion,3163.866300,kgCO2e/t,"Combustion of Jet Kerosene | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, pl","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
136,fuel,coke_oven_gas,combustion,1720.389150,kgCO2e/t,"Combustion of Coke Oven Gas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, p","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
137,fuel,motor_gasoline,combustion,3080.754900,kgCO2e/t,"Combustion of Motor Gasoline | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
138,fuel,lubricants,combustion,2956.428600,kgCO2e/t,"Combustion of Lubricants | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, plea","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
139,fuel,liquefied_petroleum_gas,combustion,2987.207850,kgCO2e/t,"Combustion of Liquefied Petroleum Gas | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calc","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
140,fuel,brown_coal_briquettes,combustion,2027.057850,kgCO2e/t,"Combustion of Brown Coal Briquettes | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calcul","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
141,fuel,residual_fuel_oil,combustion,3136.777200,kgCO2e/t,"Combustion of Residual Fuel Oil | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculatio","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
142,fuel,patent_fuel,combustion,2027.057850,kgCO2e/t,"Combustion of Patent Fuel | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, ple","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
143,fuel,anthracite,combustion,2635.970850,kgCO2e/t,"Combustion of Anthracite | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, plea","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
144,fuel,sub_bituminous_coal,combustion,1824.331950,kgCO2e/t,"Combustion of Sub-bituminous coal | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculat","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
145,gwp,r_509a_56_pfc_218,,4984.000000,kgCO2e/kg,"R-509A (56% PFC-218) | This is the Global Warming Potential (GWP) of the associated Greenhouse Gas (GHG) contained in the refrigerant blend that is reportable under the United Nations Framework Convention on Climate Change (UNFCCC), following IPCC Fifth Assessment Report (AR5) ""Climate Change 2013: The Physical Science Basis"". | Boundary incl:  | excl: Hydrochlorofluorocarbon (HCFC) component in t","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | IPCC Fifth Assessment Report | AR5",2013-01-01,
146,fuel,gas_diesel_oil,combustion,3196.749000,kgCO2e/t,"Combustion of Gas / Diesel Oil | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
147,fuel,white_spirit_and_special_boiling_point_spirit,combustion,2956.428600,kgCO2e/t,Combustion of White Spirit and Special Boiling Point Spirit | This datapoint references the 2006 IPCC Guidelines for National Greenhouse Gas Inventories and IPCC Fifth Assessment Report (AR5). | Boundary incl: Only includes emissions from the combustion of the fuel. | excl: Excludes emissions upstream of the combustion of the fuel.,"SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
148,fuel,charcoal,combustion,196.470000,kgCO2e/t,"Combustion of Charcoal | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, please","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
149,fuel,other_liquid_biofuel,combustion,6.658200,kgCO2e/t,"Combustion of Other Liquid Biofuel | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calcula","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
150,fuel,other_kerosene,combustion,3159.863400,kgCO2e/t,"Combustion of Other Kerosene | This datapoint references default CO2, CH4 and N2O emission factors in net calorific values from the 2006 IPCC Guidelines (unless stated otherwise) and the IPCC Fifth Assessment Report (AR5). This datapoint is also referenced in NEA's Carbon Tax Calculator for companies under the Carbon Pricing Act (CPA). For CPA companies who wish to do the Carbon Tax calculation, ","SEFR (netzerohub.sg) | National Environment Agency (NEA), Singapore | 2006 IPCC Guidelines for National Greenhouse Gas Inventories | AR5",2024-01-01,
