facility_id,name,route
TUAS_WTE,Tuas Waste-to-Energy Plant,WtE
SEMAKAU,Semakau Landfill,landfill
TRS,TRS Environment,recovery
LIRICH_YARD,Lirich Yard (sort/store),recovery
TSIP,Tuas South Incineration Plant,incineration
TMTS,Tuas Marine Transfer Station (to Semakau Landfill),landfill
GREENTEC,GreenTec Energy,recovery
ASIARECY,Asia Recycling (asia-recycling.com),recycling
