do_no,source,job_no,do_date,do_type,trip_type,site_id,vessel_name,berth,vehicle_id,driver_id,job_type,waste_type,bin_in,bin_out,vol_cat_a,vol_cat_b,vol_cat_c,vol_cat_d,vol_cat_e,vol_cat_f,vol_total_m3,gross_kg,tare_kg,net_kg,weigh_ticket_no,weigh_location,weight_source,gps_lat,gps_lng,gps_accuracy_m,gps_captured_at,photo_do_ref,photo_sig_ref,photo_weigh_ref,receipt_ref,disposal_facility,xero_invoice_id,backfill_notes,synced_at,sludge_requested_t,sludge_actual_t,dispose_to,vol_cat_i,vol_other_m3,other_desc,vol_oily_rags_m3,vol_expired_med_m3,bin_qty,voyage_no,claim_state,bin_in_raw,bin_out_raw
25770,backfill,,2026-05-04,land,Exchange,PAX_001,,,XE4491D,,,General Waste,,5069,,,,,,,,14940.0,17460.0,2620.0,894,,weighbridge,,,,,,,,,,,"remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by WILLIAM NG-K007671; Gross ~14,940 — verify | Gross ~14,940 — verify",2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
25789,backfill,,2026-05-08,land,Exchange,PAX_001,,,XE4491D,,,General Waste,5069,5160,,,,,,,,18960.0,15180.0,3780.0,947,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by MUSTAFA,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
26789,backfill,,2026-05-11,land,Exchange,PAX_001,,,XE6221D,,,General Waste,,,,,,,,,,16180.0,14010.0,2170.0,970,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by AMIR-K12898,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
WB-LR23595,backfill,,2026-07-16,,,ALLI_002,,,,,,General Waste,,,,,,,,,,17960.0,14100.0,3860.0,LR23595,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:37.867624+00,,,,,,,,,,,UNASSIGNED,,
WB-LR23679,backfill,,2026-07-21,,,ALLI_001,,,,,,General Waste,,,,,,,,,,17520.0,14100.0,3420.0,LR23679,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:37.925555+00,,,,,,,,,,,UNASSIGNED,,
25794,backfill,,2026-05-09,land,Exchange,PAX_001,,,XE4491D,,,General Waste,,5069,,,,,,,,14610.0,16810.0,2230.0,957,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by BALA-K009902; Bin Out reading 5069/8069 — verify | Bin Out reading 5069/8069 — verify,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
WB-LR23857,backfill,,2026-07-30,,,ALLI_001,,,,,,General Waste,,,,,,,,,,17690.0,14120.0,3570.0,LR23857,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.01801+00,,,,,,,,,,,UNASSIGNED,,
WB-LR24051,backfill,,2026-08-14,,,ALLI_004,,,,,,General Waste,,,,,,,,,,20220.0,14370.0,5850.0,LR24051,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.071845+00,,,,,,,,,,,UNASSIGNED,,
WB-LR24067,backfill,,2026-08-14,,,ALLI_003,,,,,,General Waste,,,,,,,,,,17860.0,14180.0,3680.0,LR24067,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.136081+00,,,,,,,,,,,UNASSIGNED,,
WB-LR24214,backfill,,2026-08-21,,,ALLI_001,,,,,,General Waste,,,,,,,,,,19060.0,14360.0,4700.0,LR24214,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.192353+00,,,,,,,,,,,UNASSIGNED,,
WB-LR24233,backfill,,2026-08-21,,,ALLI_002,,,,,,General Waste,,,,,,,,,,17780.0,14210.0,3570.0,LR24233,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.255664+00,,,,,,,,,,,UNASSIGNED,,
WB-LR24379,backfill,,2026-08-27,,,ALLI_001,,,,,,General Waste,,,,,,,,,,17920.0,14220.0,3700.0,LR24379,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.317477+00,,,,,,,,,,,UNASSIGNED,,
WB-LR24380,backfill,,2026-08-27,,,ALLI_003,,,,,,General Waste,,,,,,,,,,20230.0,14250.0,5980.0,LR24380,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.377984+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20963,backfill,,2026-02-26,,,APE_001,,,,,,General Waste,,,,,,,,,,18490.0,14100.0,4390.0,LR20963,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.446072+00,,,,,,,,,,,UNASSIGNED,,
